source_group,split,n_images,n_boxes,crack_boxes,pothole_boxes,background_only
20160329_104038_jpg,train,2,2,2,0,0
20160329_104100_jpg,val,1,1,1,0,0
20160329_104107_jpg,train,1,4,4,0,0
20160329_104111_jpg,test,1,3,3,0,0
20160329_104117_jpg,train,1,1,1,0,0
20160329_104120_jpg,train,1,2,2,0,0
20160329_104133_jpg,train,2,2,2,0,0
20160329_104201_jpg,train,2,2,2,0,0
20160329_104205_jpg,train,2,2,2,0,0
20160329_111111_jpg,train,3,3,3,0,0
20160329_115529_jpg,test,1,2,2,0,0
20160329_115531_jpg,test,1,3,3,0,0
20160330_160938_jpg,train,2,2,2,0,0
20160330_163725_jpg,test,1,1,1,0,0
20160330_163855_jpg,test,1,2,2,0,0
20160330_163941_jpg,train,2,2,2,0,0
20160330_163946_jpg,test,1,2,2,0,0
20160330_164743_jpg,train,1,3,3,0,0
20160330_164935_jpg,test,1,1,1,0,0
20160330_165333_jpg,test,1,1,1,0,0
20160330_165644_jpg,val,1,1,1,0,0
20160330_165956_jpg,val,1,1,1,0,0
20160330_170014_jpg,val,1,1,1,0,0
20160330_170114_jpg,val,1,1,1,0,0
20160330_170201_jpg,test,1,1,1,0,0
20160330_170256_jpg,test,1,1,1,0,0
20160330_170302_jpg,train,1,2,2,0,0
20160330_170308_jpg,val,1,1,1,0,0
20160330_170348_jpg,train,2,2,2,0,0
20160330_170359_jpg,train,2,2,2,0,0
20160330_170428_jpg,train,2,2,2,0,0
20160330_170501_jpg,train,2,2,2,0,0
20160330_170504_jpg,train,2,2,2,0,0
20160330_170507_jpg,train,2,2,2,0,0
20160330_170848_jpg,train,1,2,2,0,0
20160330_170922_jpg,train,1,2,2,0,0
20160330_172309_jpg,train,1,1,1,0,0
20160402_150105_jpg,train,1,2,2,0,0
20160402_150110_jpg,train,1,3,3,0,0
20160402_150300_jpg,train,2,2,2,0,0
20160402_150304_jpg,train,2,2,2,0,0
20160402_150314_jpg,test,1,2,2,0,0
20160402_150317_jpg,train,2,3,3,0,0
20160402_150938_jpg,test,1,3,3,0,0
20160402_150942_jpg,test,1,2,2,0,0
20160402_151049_jpg,test,1,1,1,0,0
20160402_151054_jpg,train,1,2,2,0,0
20160402_151837_jpg,train,2,2,2,0,0
20160405_171215_jpg,test,1,1,1,0,0
20160405_171219_jpg,train,1,1,1,0,0
20160405_171333_jpg,train,1,1,1,0,0
20160405_171336_jpg,val,1,1,1,0,0
20160405_171348_jpg,train,2,2,2,0,0
20160405_171353_jpg,train,2,2,2,0,0
20160405_171410_jpg,train,2,2,2,0,0
20160405_171431_jpg,val,1,2,2,0,0
20160405_171453_jpg,test,1,3,3,0,0
20160405_171456_jpg,test,1,2,2,0,0
20160405_171712_jpg,test,1,2,2,0,0
20160405_171716_jpg,train,1,2,2,0,0
20160405_171723_jpg,test,1,2,2,0,0
20160405_172849_jpg,train,1,3,3,0,0
20160405_172854_jpg,train,1,1,1,0,0
20160405_172908_jpg,val,1,1,1,0,0
20160407_163125_jpg,train,2,2,2,0,0
20160407_163130_jpg,train,2,2,2,0,0
20160407_163257_jpg,test,1,2,2,0,0
20160407_163515_jpg,train,2,2,2,0,0
20160407_163522_jpg,train,2,2,2,0,0
20160407_164918_jpg,val,1,1,1,0,0
20160407_165001_jpg,train,2,2,2,0,0
20160407_165009_jpg,train,2,4,4,0,0
20160407_165210_jpg,train,2,3,3,0,0
20160413_113422_jpg,train,1,1,1,0,0
20160415_191330_jpg,train,2,2,2,0,0
202_png_jpg,train,3,6,0,6,0
204_png_jpg,train,3,5,0,5,0
206_png_jpg,train,3,4,0,4,0
207_png_jpg,test,1,1,0,1,0
218_png_jpg,test,1,0,0,0,1
227_png_jpg,train,3,3,0,3,0
230_png_jpg,train,3,3,0,3,0
291_png_jpg,train,1,1,0,1,0
294_png_jpg,train,3,3,0,3,0
296_png_jpg,train,3,3,0,3,0
297_png_jpg,train,3,3,0,3,0
300_png_jpg,val,1,1,0,1,0
301_png_jpg,train,1,1,0,1,0
306_png_jpg,train,3,3,0,3,0
341_png_jpg,train,3,3,0,3,0
343_png_jpg,val,1,0,0,0,1
364_png_jpg,train,3,3,0,3,0
369_png_jpg,train,3,3,0,3,0
370_png_jpg,train,3,3,0,3,0
371_png_jpg,train,3,3,0,3,0
372_png_jpg,train,1,1,0,1,0
375_png_jpg,train,3,9,0,9,0
377_png_jpg,train,3,9,0,9,0
378_png_jpg,train,3,9,0,9,0
383_png_jpg,train,3,6,0,6,0
389_png_jpg,train,3,9,0,9,0
390_png_jpg,train,3,6,0,6,0
391_png_jpg,train,3,9,0,9,0
392_png_jpg,train,3,9,0,9,0
393_png_jpg,test,1,3,0,3,0
394_png_jpg,train,3,6,0,6,0
395_png_jpg,train,1,2,0,2,0
396_png_jpg,train,3,6,0,6,0
397_png_jpg,train,3,6,0,6,0
398_png_jpg,train,3,6,0,6,0
401_png_jpg,test,1,2,0,2,0
406_png_jpg,train,3,6,0,6,0
412_png_jpg,train,3,3,0,3,0
415_png_jpg,train,3,3,0,3,0
419_png_jpg,train,3,3,0,3,0
421_png_jpg,train,3,3,0,3,0
423_png_jpg,train,3,3,0,3,0
427_png_jpg,train,3,3,0,3,0
431_png_jpg,train,1,2,0,2,0
433_png_jpg,val,1,2,0,2,0
440_png_jpg,train,3,4,0,4,0
443_png_jpg,test,1,2,0,2,0
444_png_jpg,val,1,2,0,2,0
447_png_jpg,val,1,2,0,2,0
452_png_jpg,test,1,3,0,3,0
458_png_jpg,train,3,9,0,9,0
460_png_jpg,train,3,9,0,9,0
463_png_jpg,train,3,9,0,9,0
465_png_jpg,train,3,12,0,12,0
467_png_jpg,train,3,12,0,12,0
470_png_jpg,train,3,12,0,12,0
471_png_jpg,train,3,12,0,12,0
472_png_jpg,train,3,12,0,12,0
476_png_jpg,train,1,3,0,3,0
477_png_jpg,train,3,9,0,9,0
483_png_jpg,train,3,9,0,9,0
486_png_jpg,train,3,12,0,12,0
488_png_jpg,val,1,4,0,4,0
490_png_jpg,train,3,15,0,15,0
491_png_jpg,train,3,15,0,15,0
493_png_jpg,test,1,4,0,4,0
498_png_jpg,train,3,12,0,12,0
656_png_jpg,train,3,15,0,15,0
660_png_jpg,train,3,15,0,15,0
668_png_jpg,train,2,10,0,10,0
672_png_jpg,val,1,4,0,4,0
673_png_jpg,train,3,12,0,12,0
676_png_jpg,train,3,12,0,12,0
678_png_jpg,train,3,9,0,9,0
679_png_jpg,val,1,4,0,4,0
680_png_jpg,train,3,8,0,8,0
683_png_jpg,train,3,6,0,6,0
684_png_jpg,test,1,4,0,4,0
686_png_jpg,train,3,7,0,7,0
688_png_jpg,test,1,2,0,2,0
689_png_jpg,train,3,8,0,8,0
692_png_jpg,train,3,8,0,8,0
693_png_jpg,train,3,7,0,7,0
694_png_jpg,test,1,3,0,3,0
696_png_jpg,train,3,6,0,6,0
697_png_jpg,train,3,9,0,9,0
699_png_jpg,train,3,9,0,9,0
704_png_jpg,train,3,9,0,9,0
705_png_jpg,train,3,7,0,7,0
707_png_jpg,train,3,8,0,8,0
709_png_jpg,train,3,9,0,9,0
712_png_jpg,train,3,9,0,9,0
713_png_jpg,train,3,9,0,9,0
714_png_jpg,train,3,9,0,9,0
715_png_jpg,train,3,9,0,9,0
716_png_jpg,train,3,9,0,9,0
718_png_jpg,train,3,9,0,9,0
719_png_jpg,train,3,9,0,9,0
720_png_jpg,train,3,9,0,9,0
725_png_jpg,train,1,4,0,4,0
726_png_jpg,train,3,9,0,9,0
728_png_jpg,val,1,4,0,4,0
730_png_jpg,train,3,9,0,9,0
731_png_jpg,test,1,4,0,4,0
735_png_jpg,train,3,12,0,12,0
736_png_jpg,train,3,12,0,12,0
737_png_jpg,train,3,12,0,12,0
739_png_jpg,train,1,4,0,4,0
740_png_jpg,train,2,6,0,6,0
743_png_jpg,train,3,12,0,12,0
757_png_jpg,train,3,18,0,18,0
765_png_jpg,train,3,18,0,18,0
766_png_jpg,train,3,27,0,27,0
767_png_jpg,train,3,29,0,29,0
768_png_jpg,train,3,27,0,27,0
774_png_jpg,train,3,27,0,27,0
777_png_jpg,train,3,33,0,33,0
778_png_jpg,train,3,30,0,30,0
779_png_jpg,train,3,27,0,27,0
784_png_jpg,train,3,27,0,27,0
793_png_jpg,train,3,25,0,25,0
794_png_jpg,train,3,26,0,26,0
800_png_jpg,train,3,21,0,21,0
801_png_jpg,test,1,6,0,6,0
802_png_jpg,train,3,21,0,21,0
807_png_jpg,train,1,4,0,4,0
810_png_jpg,val,1,1,0,1,0
815_png_jpg,train,3,19,0,19,0
816_png_jpg,test,1,6,0,6,0
818_png_jpg,train,3,15,0,15,0
832_png_jpg,test,1,4,0,4,0
836_png_jpg,train,3,15,0,15,0
839_png_jpg,train,3,15,0,15,0
842_png_jpg,train,1,4,0,4,0
845_png_jpg,train,3,12,0,12,0
847_png_jpg,test,1,4,0,4,0
849_png_jpg,test,1,2,0,2,0
851_png_jpg,train,3,9,0,9,0
854_png_jpg,train,3,9,0,9,0
857_png_jpg,test,1,2,0,2,0
863_png_jpg,train,3,6,0,6,0
864_png_jpg,train,3,3,0,3,0
865_png_jpg,train,1,1,0,1,0
871_png_jpg,train,3,3,0,3,0
876_png_jpg,train,3,3,0,3,0
880_png_jpg,train,3,3,0,3,0
881_png_jpg,train,3,3,0,3,0
884_png_jpg,train,3,3,0,3,0
cfd_001_jpg,test,1,1,1,0,0
cfd_002_jpg,train,3,10,10,0,0
cfd_003_jpg,train,2,4,4,0,0
cfd_004_jpg,train,3,7,7,0,0
cfd_005_jpg,train,2,2,2,0,0
cfd_006_jpg,train,3,3,3,0,0
cfd_007_jpg,train,3,3,3,0,0
cfd_008_jpg,train,3,7,7,0,0
cfd_009_jpg,train,2,2,2,0,0
cfd_010_jpg,train,3,3,3,0,0
cfd_011_jpg,train,1,1,1,0,0
cfd_012_jpg,train,3,7,7,0,0
cfd_013_jpg,train,2,3,3,0,0
cfd_014_jpg,train,3,3,3,0,0
cfd_015_jpg,train,1,1,1,0,0
cfd_016_jpg,train,2,4,4,0,0
cfd_017_jpg,train,2,2,2,0,0
cfd_018_jpg,train,2,2,2,0,0
cfd_019_jpg,train,3,9,9,0,0
cfd_020_jpg,train,3,3,3,0,0
cfd_021_jpg,train,3,8,8,0,0
cfd_022_jpg,train,2,4,4,0,0
cfd_023_jpg,test,1,1,1,0,0
cfd_024_jpg,train,2,6,6,0,0
cfd_025_jpg,test,1,1,1,0,0
cfd_026_jpg,train,2,2,2,0,0
cfd_027_jpg,train,3,3,3,0,0
cfd_028_jpg,train,3,3,3,0,0
cfd_029_jpg,train,2,2,2,0,0
cfd_030_jpg,train,3,3,3,0,0
cfd_031_jpg,train,1,5,5,0,0
cfd_032_jpg,train,2,8,8,0,0
cfd_033_jpg,train,3,9,9,0,0
cfd_034_jpg,train,2,9,9,0,0
cfd_035_jpg,train,1,10,10,0,0
cfd_036_jpg,train,2,4,4,0,0
cfd_037_jpg,train,2,10,10,0,0
cfd_038_jpg,train,2,2,2,0,0
cfd_039_jpg,train,2,2,2,0,0
