patch_id,image,split,source_group,x,y,size,sha256
22,images/test/img-654_jpg.rf.53e90fe675d5fbe57250eafebdf99cdf.jpg,test,img-654_jpg,0,192,128,5b3fd83064f605d737475f4ec710b4eb9cf3c3d7a4343cd46bdc5acc2bdf7ff5
23,images/test/GAPS384_train_0470_541_641_jpg.rf.115f40de696eca46646979d24aec1da0.jpg,test,GAPS384_train_0470_541_641_jpg,128,0,128,f37791e8482f72c77793ec6881eec59f34bd66a9e2608c14fa79006b0b0c708d
24,images/test/GAPS384_train_1162_541_1_jpg.rf.782df20aba56503d61e64f758ce09c81.jpg,test,GAPS384_train_1162_541_1_jpg,64,128,128,27156f22ad3a56e313656ffa806cd8f486f4b6ee59cd0f2cad8fc9fa2b7f0b01
25,images/test/CRACK500_20160328_153524_641_721_jpg.rf.a7d787c794cc6ba2fb74a7dda091afd8.jpg,test,CRACK500_20160328_153524_641_721_jpg,128,256,128,eb4f7efa3d3d8f67a6648a67ea2ec434a1e747c736221580927679b8cbf7a102
26,images/test/CRACK500_20160321_185637_1_1_jpg.rf.1cd47d3dd77df037e23411b1e07a533e.jpg,test,CRACK500_20160321_185637_1_1_jpg,256,0,128,c368e18002c8850b5e793c72b6f413d3f21a0235e68a10fbc6a3367fa8f2f2bd
27,images/test/po_417_jpg.rf.28628c8668430c7427e69cbc0b53afc1.jpg,test,po_417_jpg,0,256,128,9b6775cf2460b0732bf91b669d5cdb2087d48761f8a4843ffad5b56842a90792
28,images/test/736_png_jpg.rf.bc5320f5e38f074130375b02730278c7.jpg,test,736_png_jpg,256,128,128,1f1a477c0386a203e3a3843c73f05c16c43c5a2fd2e73f8489d4edf9a8f2f311
29,images/test/CRACK500_20160329_094507_1281_721_jpg.rf.b0e784f4fa4f51d7cd9da24ec3af20b4.jpg,test,CRACK500_20160329_094507_1281_721_jpg,64,256,128,6093ed1b438a58955b8c093a737dd08836acaf42d40a2b2f04a0f620449da992
30,images/test/493_png_jpg.rf.76f1a5b95021bc35d1197cc2d0b576e7.jpg,test,493_png_jpg,64,256,128,d1ac32fb8ff3f3b23243178c98f7f1456e74420650d751f8876e78d137401b2c
31,images/test/DeepCrack_11193_jpg.rf.28fee0c345d9b5e2c01228157c972f6e.jpg,test,DeepCrack_11193_jpg,256,64,128,ec6da202156eedce5f156d3fe9afdfc6c08f4947d7971861c76489087f72ce2f
32,images/test/CRACK500_20160329_101342_1281_361_jpg.rf.a8a16edb02147e9c737f367bd9a33547.jpg,test,CRACK500_20160329_101342_1281_361_jpg,0,0,128,cb212a94b16fa6886bba842f633bb95937ef6069d57f2ad031441bcfa2b4ff04
33,images/test/DeepCrack_11247-9_jpg.rf.8429df92f3bc3faead6d4e2ba88a6086.jpg,test,DeepCrack_11247-9_jpg,0,0,128,d35ded735fe8f46a7da184cc6d380a119987c5f53847d1f41070496a4aaf2edd
34,images/test/po_1037_jpg.rf.be274efeb9789b5f8642e55f6ccc725c.jpg,test,po_1037_jpg,256,0,128,6f51a24dd0e2457860ab162402befde3f35d1bb755a7ab192a25ae2eede5d6f5
35,images/test/699_png_jpg.rf.81c95e4fd4b427be38a93d5ceca688f8.jpg,test,699_png_jpg,64,128,128,59a370cecf1a9d4ae79f18cab3aa2632d65cb6a6c20ce5030a455a14f98c8799
36,images/test/CRACK500_20160405_171353_1921_721_jpg.rf.a4d2131ee62b3cbcb794caa394373a35.jpg,test,CRACK500_20160405_171353_1921_721_jpg,64,256,128,374b82663704666be6d1962f28887637c374ef567336b5654cce7b5d9b4a8b89
37,images/test/CRACK500_20160222_165947_1921_721_jpg.rf.c88da9af7657f6176db1a7afbccd9e1c.jpg,test,CRACK500_20160222_165947_1921_721_jpg,0,128,128,4e79a163d5d09a276d6957f0a42de12a7c6a0fff2f80e9ddd77ea2fb586bde28
38,images/test/CRACK500_20160328_153544_1281_1_jpg.rf.2e9726f72966a177d8cb4beadc97804a.jpg,test,CRACK500_20160328_153544_1281_1_jpg,64,128,128,92947e64dcb617803db93aef818128bad4daa6ee31691b84b6dc36b73ff2fd24
39,images/test/po_640_jpg.rf.8b90e4006aec904f7294ece8b5fb5b0e.jpg,test,po_640_jpg,256,0,128,ccbea5056887da2aed0f3a324f30889b3f11627e4730b44d71848f7ffa215d2a
40,images/test/CRACK500_20160328_153629_641_721_jpg.rf.9ca0e8db54a9fe0e75fd6f6f48bdbb9d.jpg,test,CRACK500_20160328_153629_641_721_jpg,128,192,128,26d46fb1392f92f6040b91e80145d078e8e8f3f26c8d78d9626bc5bcb819721e
41,images/test/CRACK500_20160326_150319_721_641_jpg.rf.8d1022f334b7e8a65ce7269f786952ea.jpg,test,CRACK500_20160326_150319_721_641_jpg,256,0,128,431ea1d25d59f344a2be9ae4427c096293afa5cfe21f797fbf7569cd85524f25
42,images/test/CRACK500_20160329_103807_1281_721_jpg.rf.41031a4007bbdd3884675c8b8b658792.jpg,test,CRACK500_20160329_103807_1281_721_jpg,192,256,128,1068cfe6755fc74c2d1e83274fcbd972597c23348eb22fcc2a391a08997f58de
43,images/test/CRACK500_20160222_165012_1281_1_jpg.rf.426f50094dc8c79608b5439b4b523515.jpg,test,CRACK500_20160222_165012_1281_1_jpg,64,192,128,fbb4b68257c87fe26f8feebe67d0e06d1916625e246fa12158c7a3b50a5de088
44,images/test/033_png_jpg.rf.6332b48235f4c5a9588a964fedb07e12.jpg,test,033_png_jpg,64,256,128,b533bbe92d7bce2741facbd31e4512fcc505b31ef77048f805ff12b18c9fca19
45,images/test/CRACK500_20160326_142349_641_361_jpg.rf.935c7aa574e239d57d617da3847b4918.jpg,test,CRACK500_20160326_142349_641_361_jpg,192,64,128,aacd83b37bbc82d77b650faf7695b88632f639101f5172199cd13b9adba8b15d
46,images/test/po_2959_jpg.rf.68a1e4937e252061fa6a0daeee07f8a4.jpg,test,po_2959_jpg,64,0,128,e83570c9bddf08fb21bfdc92798d0cf83489c1f02a444fec31013e166f313f2f
47,images/test/CRACK500_20160405_171716_1_361_jpg.rf.001ecd28127357b458155a32780147ca.jpg,test,CRACK500_20160405_171716_1_361_jpg,64,0,128,044fcf5eb387c9c11470b49d15b71e770933341cfd3058ffffe6d48c9a81945b
48,images/test/CRACK500_20160328_153357_1_721_jpg.rf.68731d0be0c16d676581bce21f8efdaa.jpg,test,CRACK500_20160328_153357_1_721_jpg,192,64,128,e0e22172617a96e57046feb92e7f4ab12e78a50f4d8ed7ee49eaff08b5a18df5
49,images/test/CRACK500_20160328_151343_1281_1_jpg.rf.f0e375cd4046b61095a2fde701d2a14c.jpg,test,CRACK500_20160328_151343_1281_1_jpg,64,192,128,a3d3aa9c234fad332f901e009e282a169f5830db100c0ef555f3c6be4cdc15ce
50,images/test/DeepCrack_IMG13-3_jpg.rf.79f4a1cb2da3e5d37c446c763e876879.jpg,test,DeepCrack_IMG13-3_jpg,192,0,128,35fdfbdbab24b780ea4f7c7b28bc5b0d01e3d0a45a8f3dfaac1360b222985d8a
51,images/test/431_png_jpg.rf.68b514680ebc95c1cc688891d35c5b89.jpg,test,431_png_jpg,64,256,128,98fe26ede1d248e93bf5f86a0038778f3ba142ff403bae5f8f762c21b6cde886
52,images/test/CRACK500_20160328_151506_1281_721_jpg.rf.9e8fac449752ea524a6714641f3d749f.jpg,test,CRACK500_20160328_151506_1281_721_jpg,128,192,128,e896043def4686b0e52d13bda7df6c120b77621c3fd1fd34c92ef0eeaba36cd2
53,images/test/398_png_jpg.rf.b800904d65078e1544b673767dd4a4bf.jpg,test,398_png_jpg,256,0,128,ceec177e1df8297d965741cf5b6850e9f18a384c3b31dac03d1072d7de739fa0
54,images/test/po_1981_jpg.rf.84392c610d51f27b1179860f0b3cdd18.jpg,test,po_1981_jpg,0,192,128,451e4ae6b5adea4ac1114a633f87e64cdb1ed33a0a565d6e990066bc0ca45354
55,images/test/po_1965_jpg.rf.6bf527c56d86682d18e438531d6dd85a.jpg,test,po_1965_jpg,256,0,128,eeda0cdf6c0949e72cc8490f57712732f33b6dfd67d4dbff799554b3009c8970
56,images/test/458_png_jpg.rf.d504e9b0fd1b83a0c28cdc3a4cf3463c.jpg,test,458_png_jpg,0,192,128,40a4944a23759aa1f6e1db3dd78f65b0bf25393a5b1d3fc1cbb21828abf71879
57,images/test/CRACK500_20160326_150319_721_641_jpg.rf.8c0244bba00e66a58f1d560a450cf777.jpg,test,CRACK500_20160326_150319_721_641_jpg,192,192,128,ee2a4f96d83301ba1db25042c461f513c39c9e69c282c599f6bc6cf63cceca6b
58,images/test/GAPS384_train_0581_541_1_jpg.rf.71075c7677c4d42151054fa4b83fc1cb.jpg,test,GAPS384_train_0581_541_1_jpg,192,128,128,b32f3dabb03153b9ffa97c0bd71b9a0917307e9d4e0bbae1002cad749e01cd6b
59,images/test/CRACK500_20160328_152305_641_361_jpg.rf.a88e37ae43119ff4fe1628590029c449.jpg,test,CRACK500_20160328_152305_641_361_jpg,256,0,128,129058bb2e8b52b78c03178ef7b13717ad4dad32d117e10cd3cee369a0fdc7f7
60,images/test/016_png_jpg.rf.e117401e4610dbd915c31e3bbdbe412e.jpg,test,016_png_jpg,128,256,128,625ff4969810314db3b8979aee8bc6291d4265a491bd6ef910a9cb95dce5748e
61,images/test/CRACK500_20160329_093924_641_1_jpg.rf.d2f90ae0a1c1bb1d349c86b0edccb482.jpg,test,CRACK500_20160329_093924_641_1_jpg,0,0,128,4c42b7a50c68ee9e8c29fae75cbd443325516451d1481adab5bb361b927485bc
62,images/test/GAPS384_train_1364_1_1_jpg.rf.f42ace7c5e9ee2679636642fa6971f4d.jpg,test,GAPS384_train_1364_1_1_jpg,256,256,128,9e7560562105f1cdb1834995474b22026fa43d25c262f9d92755eb5e41a6401e
63,images/test/CRACK500_20160222_115828_641_1081_jpg.rf.41290a05a629df0554c029c6f5039c53.jpg,test,CRACK500_20160222_115828_641_1081_jpg,64,128,128,12f3d11499389a36f0b48a4d4c26791972a30e308cb1a06f77fe9b1916afe960
64,images/test/po_1957_jpg.rf.df1fd7f9341f2bce0c0c758303ea339d.jpg,test,po_1957_jpg,192,0,128,4a8a3f15931410af8479c79a46a1a8dc08dd0cf3cea592858715fd8a8e0eaff8
65,images/test/CRACK500_20160222_115233_1_721_jpg.rf.dbba328f701c866b656632e4c147ead4.jpg,test,CRACK500_20160222_115233_1_721_jpg,128,64,128,e5a83e96c9de25d697fdf853a9ee575d5a4911ccbe48b30cc04d01545eb36050
66,images/test/DeepCrack_IMG_6472-8_jpg.rf.876c4cc2464d7adcea64dcc7f62f47a3.jpg,test,DeepCrack_IMG_6472-8_jpg,256,128,128,3084be7dcf55f2a5dc131a1ead0b8132e4dd9ae26145e1a61fc89656099b2d16
67,images/test/CRACK500_20160222_080850_641_361_jpg.rf.6832ee5a60d3e9f7e0c52759032789e4.jpg,test,CRACK500_20160222_080850_641_361_jpg,256,128,128,9b1b1db89cc9edee240048c757e72e2fec394b94fe51c8a400006964fa3892a9
68,images/test/po_1034_jpg.rf.f81c19deae5c70e946c9deb52b4c7d1a.jpg,test,po_1034_jpg,64,192,128,6d99db7715a12c2a32c7726dd1540aa05794174f5fbf66a91bf42fffca9aac00
69,images/test/CRACK500_20160222_165037_641_721_jpg.rf.6cdacc7d1fd3c8fc4a18e37e389c75b7.jpg,test,CRACK500_20160222_165037_641_721_jpg,64,0,128,b23cc17f5d9973f95846e196342ecc5f09ecc223887a333995fb2a058d76b600
70,images/test/20160329_094016_jpg.rf.1ea7b9fb5d0d50e8cd88f7aa93f03837.jpg,test,20160329_094016_jpg,256,256,128,ea9d32a14be836bc50ca0acee241bf125f1901c2501494226c68cb3e33235945
71,images/test/CRACK500_20160405_172908_641_1_jpg.rf.ab9ece88461fcec98485c05caf37ec27.jpg,test,CRACK500_20160405_172908_641_1_jpg,0,256,128,7bd37f4db59e57ec10768b72df588983c4c9cd12ed352859ae6eebe7035aeffc
72,images/test/CRACK500_20160407_165009_641_1081_jpg.rf.1251fd2e4ef724597882b6640bfefaf9.jpg,test,CRACK500_20160407_165009_641_1081_jpg,64,192,128,1b791f25bd197a7bd23cb90e9d3838ba06fa501a4b966dcde502f167ae42981d
73,images/test/768_png_jpg.rf.23e760a51eb9579236f3f535be0c2278.jpg,test,768_png_jpg,0,64,128,d8533b48c0887b7c94dad5395f05b233b828e54888c4b22dedc59bfa8b4c295c
74,images/test/po_2636_jpg.rf.60d2cc91741a498d1d248fa66462240d.jpg,test,po_2636_jpg,128,0,128,6f2f0982082a19fe87fd0cb4f6c9347b94f4ad976266e6132f9368a9c67b5735
75,images/test/180_png_jpg.rf.1503de9795099ac8a84b917097891928.jpg,test,180_png_jpg,64,256,128,51cdae23bdedebe15da75fa0be09015f844952c169b7a70e1688c199bc46f6e5
76,images/test/CRACK500_20160328_154011_641_1081_jpg.rf.9081527459dd9233cf1073cea9376016.jpg,test,CRACK500_20160328_154011_641_1081_jpg,64,192,128,cdbe5cb6add0f2e93d34c6344853c9e0aff1f6fe28a899a218f74b84f111b008
77,images/test/CRACK500_20160225_114531_1281_1_jpg.rf.08110dd92c0185d1cd616e654009a387.jpg,test,CRACK500_20160225_114531_1281_1_jpg,0,128,128,26c994c7b548d29a33ac2f03a17fa63c3271d519c023988a338c388a98a01567
78,images/test/CRACK500_20160328_154540_1921_1081_jpg.rf.577c6b9f853715465351181405f57da4.jpg,test,CRACK500_20160328_154540_1921_1081_jpg,128,192,128,5a5637104792be8d0132d3344a0ae3f753c24d7e5041604c046e1cf5d3538f0e
79,images/test/CRACK500_IMG_2938_1945_1_jpg.rf.5d61054f339b78af148e6ad8a7230bd6.jpg,test,CRACK500_IMG_2938_1945_1_jpg,64,128,128,6331b2a0494e31badbc91ff84fc704d0789a27c19909898a13f0a6e0d0f003df
80,images/test/po_1835_jpg.rf.eb411a78c195c6c09af7542fd8851084.jpg,test,po_1835_jpg,192,0,128,5d95b9fe28dab3405c8c9d813a8ebc882b784b6d83cf70e3ff8b850c827fc63f
81,images/test/CRACK500_20160307_145000_1921_361_jpg.rf.d94245d1303ed1138fc5069b9a641acb.jpg,test,CRACK500_20160307_145000_1921_361_jpg,256,0,128,1ef740ad9b8c5d6433dd1a4873ef2842599b517c90691bdaa7a76cdc4c0ad317
82,images/test/CRACK500_20160222_165037_641_721_jpg.rf.6cdacc7d1fd3c8fc4a18e37e389c75b7.jpg,test,CRACK500_20160222_165037_641_721_jpg,0,0,128,b23cc17f5d9973f95846e196342ecc5f09ecc223887a333995fb2a058d76b600
83,images/test/po_2540_jpg.rf.e59a96289c535f3b16fded033ca9bd85.jpg,test,po_2540_jpg,0,256,128,a9a901e34454d80f00f73b6d381ca9825bafd734ac37dd7dc53130565a714a7d
84,images/test/195_png_jpg.rf.dedf6adb5ab14a0325464fa71805b16b.jpg,test,195_png_jpg,256,192,128,8b5d65998b987e857b412943a3ffb164dedef907bee25e99bcdcde6425457982
85,images/test/CRACK500_20160308_074702_641_361_jpg.rf.ae446e9a3b6fc3ed5828420b60e667ef.jpg,test,CRACK500_20160308_074702_641_361_jpg,0,0,128,172ed11ff977c4dfcece75d2d157d3e476f0fa5296fcc8cfc0e52f57557a7962
86,images/test/CRACK500_20160222_164822_641_1081_jpg.rf.d04df0057225506a702e5702c302bd73.jpg,test,CRACK500_20160222_164822_641_1081_jpg,128,192,128,ddd43afe64d12e7ee1bb31db0a84ecad414a77be9c1757b7204fded341991fa8
87,images/test/718_png_jpg.rf.7b13dc544f8dc7e0807246b9b39253cb.jpg,test,718_png_jpg,256,256,128,9fa14dd93be34b7ff31d7587f2cb1faeb71b7a3a6292819cd2e6fba132dc3ade
88,images/test/CRACK500_20160326_142327_1_721_jpg.rf.82bc6650dba1371be0810d1ace0ee54d.jpg,test,CRACK500_20160326_142327_1_721_jpg,128,64,128,01561e60a7f89782caceba6008b617ef00489a8389aee14fb42bf38271c1b7f3
89,images/test/CRACK500_20160222_115224_1921_1081_jpg.rf.cd079d2a07b81847636e29b8100cd4a9.jpg,test,CRACK500_20160222_115224_1921_1081_jpg,64,192,128,be1ef253095c330518f3b40d2f3cf06e1087a603e89f858b26a664adf5b1ffbd
90,images/test/po_1981_jpg.rf.84392c610d51f27b1179860f0b3cdd18.jpg,test,po_1981_jpg,0,128,128,451e4ae6b5adea4ac1114a633f87e64cdb1ed33a0a565d6e990066bc0ca45354
91,images/test/DeepCrack_IMG13-1_jpg.rf.0718d1fbcfb4cadf6a1e8191070bfc2f.jpg,test,DeepCrack_IMG13-1_jpg,256,256,128,fc81810de0fb1130f0ca53bcafb8ae1236bce06c010ad0f27c611a8e4b0da40f
92,images/test/GAPS384_train_1190_1_1_jpg.rf.982095e22584a55ac55b0af7886a3cb7.jpg,test,GAPS384_train_1190_1_1_jpg,64,192,128,ed75eed22f41f55ccd225bd4d539ab4fb2cfd1c5586b929ae9da4860ad044eb9
93,images/test/po_1432_jpg.rf.8531a0701e52f0b80c67b9bbdfbbef72.jpg,test,po_1432_jpg,0,0,128,74f5441e82b89c101442ec2436b88d76feb9225e547ed6ec59fdbfac9d073786
94,images/test/CRACK500_20160328_154325_641_361_jpg.rf.f80b0d70dab37df057e4d6ff3a584f52.jpg,test,CRACK500_20160328_154325_641_361_jpg,64,0,128,81471d01f1c8e51bb55c65f82ea86a4090d51dc78ac7c3521fc8dde904c0975b
95,images/test/CRACK500_20160308_072944_1921_1_jpg.rf.2f16069cbef883da2521a330a2533bd7.jpg,test,CRACK500_20160308_072944_1921_1_jpg,0,192,128,7c8964ac66fb10ab8737327f5a948e72b19814f8e1c4fe1cd62dcbd55252ecba
96,images/test/CRACK500_20160308_155516_641_1_jpg.rf.fba6bbf7b6580371d365b6ad8f4b14a7.jpg,test,CRACK500_20160308_155516_641_1_jpg,64,0,128,0355e5d908d7d242759195308c6d95aec68f381d36fbc9710ceb088db798cae0
97,images/test/GAPS384_train_0584_541_641_jpg.rf.b2b61783712f7772d64452c5623860ac.jpg,test,GAPS384_train_0584_541_641_jpg,64,64,128,330075640f97db5bad72d9f5ff57ad3d2831e8d28cc600c6c417c68ebbebcb38
98,images/test/CRACK500_20160316_142226_641_361_jpg.rf.10d14e18b4e21d8b935d1b5b13323233.jpg,test,CRACK500_20160316_142226_641_361_jpg,128,0,128,38341b7de71411b4632a63eab7ba2fa6fd8392589b11e13db68a10ff7d79da94
99,images/test/img-360_jpg.rf.c51c6b845a178b1b0308f48d01c89aa0.jpg,test,img-360_jpg,0,256,128,4099076a02b2fce68c8280e2bd3e2689c36c279cf7541bdad111bd31c43914e1
100,images/test/po_81_jpg.rf.ffa9e59cefa349c6d169b71fe22e7e61.jpg,test,po_81_jpg,0,0,128,22439d63941920995d5f6366b93729caf0b29260de48f6df445cd81c9e556dd6
101,images/test/po_1520_jpg.rf.eeaf01410a2668ebdbd855209651b5ee.jpg,test,po_1520_jpg,0,0,128,b43c2141b60a1b6b17cf6250ad2c4caa8b19fa10e3fe653e25e10224e21b2ea0
102,images/test/CRACK500_20160326_174634_1281_721_jpg.rf.c81588d3c3b86108e44c7546a49cdf36.jpg,test,CRACK500_20160326_174634_1281_721_jpg,256,192,128,963417ad4b0b959469bd8c8fa164a41a28664b8a541412b8f1ff31eaa6888c48
103,images/test/img-425_jpg.rf.826e8b2a73fb7247464ee02c8e3c73c7.jpg,test,img-425_jpg,0,0,128,0341bebf5b3c5f20db6c0bfa72a1639e250a82556d0663bb0818149bfc31062d
104,images/test/CRACK500_20160307_164517_641_1_jpg.rf.f291f8d77ba32726d0a970f59edef7e4.jpg,test,CRACK500_20160307_164517_641_1_jpg,256,0,128,b5dc4435d740020a944c4ec593247cb32c0f4b5bf26762e7c1e2c49085d77c07
105,images/test/CRACK500_20160329_094006_641_1081_jpg.rf.fc1ffae7af5a2ec515258eacb76cf024.jpg,test,CRACK500_20160329_094006_641_1081_jpg,128,256,128,70d0d0a5f836e70de6da38ad17ce1f7539a7f6df538a03ed08733a53be930251
106,images/test/CRACK500_20160324_170309_1281_361_jpg.rf.67d7bf98c261b037e711860000400cec.jpg,test,CRACK500_20160324_170309_1281_361_jpg,0,128,128,26db8e88a45cac8879b0e019b40a4a426c765caa03e4536a517c1243c9e437da
107,images/test/po_1103_jpg.rf.13dd10c880d004a2684560d6602ea9f1.jpg,test,po_1103_jpg,0,64,128,fc1ac2007230162612f6c8d547ae514677f5759930961d6a80aafeeb5affcc32
108,images/test/CRACK500_20160328_151247_1921_1_jpg.rf.2ec08d45893bc573f388cbbd2332b207.jpg,test,CRACK500_20160328_151247_1921_1_jpg,192,64,128,e0f30aeca818d182a07e08d8e7390319b88b7890588aedc54d52e167ca84e7e7
109,images/test/GAPS384_test_0192_541_1_jpg.rf.d08c5f094254f2ef2ffef3d6930e16ff.jpg,test,GAPS384_test_0192_541_1_jpg,256,256,128,34334d42f5c8a4f2f5f486c269fd9b70b986a2c40afb5e3fbe63e250bb4454b2
110,images/test/CRACK500_20160329_094025_1281_721_jpg.rf.d9fd603f5652400ec370f589b9f03048.jpg,test,CRACK500_20160329_094025_1281_721_jpg,128,64,128,7654837762a9f60b310b96a7bd47de4c7833a1047797627c60ea3885801dd941
111,images/test/013_png_jpg.rf.382baf80ff6057bf85e32c7121e36459.jpg,test,013_png_jpg,0,256,128,a3cf4b43c51a62a453532123505ee20cb7dc01dd0696b450cc0f9ada1e364daf
112,images/test/CRACK500_20160307_145113_1921_1081_jpg.rf.76ae246bba1c5598014bf3c27d20f622.jpg,test,CRACK500_20160307_145113_1921_1081_jpg,0,0,128,ace83268ec92fb1bc6a7d3e18f562493ed22dc264f1868b9e845446d4615a8e5
113,images/test/CRACK500_20160329_101342_1281_361_jpg.rf.a8a16edb02147e9c737f367bd9a33547.jpg,test,CRACK500_20160329_101342_1281_361_jpg,256,256,128,cb212a94b16fa6886bba842f633bb95937ef6069d57f2ad031441bcfa2b4ff04
114,images/test/421_png_jpg.rf.ecdce9432383206829c78f713539986f.jpg,test,421_png_jpg,192,256,128,8e5bec944cb70601b6661012afbc6b97bfbfc17f5c564d9d28f69a4e32e88c36
115,images/test/431_png_jpg.rf.68b514680ebc95c1cc688891d35c5b89.jpg,test,431_png_jpg,192,256,128,98fe26ede1d248e93bf5f86a0038778f3ba142ff403bae5f8f762c21b6cde886
116,images/test/CRACK500_20160310_114459_641_361_jpg.rf.b636e59d9683ed11115ce63c42f63cb4.jpg,test,CRACK500_20160310_114459_641_361_jpg,0,256,128,8a6a84912bfa725e8cc9fd8a9577aebf75c5dcd2122bc3207cf7ad661d424519
